question_set_edition	tournament	room	round	packet	tossup	answer	words	category	subcategory	subsubcategory	team	player	buzz_value	buzz_location	buzz_location_pct	bounceback	answer_given	protested
2018-01-20	Toronto	2	2	C	20	Saint Jerome	135	Arts	Painting/Sculpture		Toronto A	Zhenglin Liu	10	135	1.0	bounceback		
2018-01-20	Toronto	2	3	I	1	Polish hussars	141	History	Continental European History (post-600 CE)		Queen's	Kevin	10	40	0.284			
2018-01-20	Toronto	2	3	I	4	Australia	145	Other	Current Events		Queen's	Jack	10	101	0.697			
2018-01-20	Toronto	2	3	I	5	Punch	149	Arts	Other Art	Other Visual	Queen's	Kevin	10	62	0.416			
2018-01-20	Toronto	2	3	I	7	dinitrogen	139	Science	Chemistry		Queen's	Rachel	10			bounceback		
2018-01-20	Toronto	2	3	I	9	Robert Falcon Scott	139	History	British, Canadian, Australian, New Zealand History		Queen's	Dennis	10	68	0.489			
2018-01-20	Toronto	2	3	I	10	decolonization	149	RMPSS	Philosophy		Queen's	Dennis	-5	100	0.671			
2018-01-20	Toronto	2	3	I	16	tidal forces	134	Science	Other Science	Astronomy	Queen's	Dennis	10	96	0.716			
2018-01-20	Toronto	2	3	I	17	combs	144	RMPSS	Mythology		Queen's	Jack	10	144	1.0	bounceback		
2018-01-20	Toronto	2	3	I	18	Senegal River	139	History	Other History		Queen's	Dennis	10			bounceback		
2018-01-20	Toronto	2	3	I	19	Paul Cézanne	155	Arts	Painting/Sculpture		Queen's	Jack	0	155	1.0			
2018-01-20	Toronto	2	3	I	20	Clifford Geertz	136	RMPSS	Social Science		Queen's	Dennis	10					
2018-01-20	Toronto	2	3	I	2	dictionary	143	Literature	Long Fiction		Waterloo A	Erik Christensen	10	122	0.853			
2018-01-20	Toronto	2	3	I	3	quantum fields	141	Science	Physics		Waterloo A	Nicholas Sunderland	10					
2018-01-20	Toronto	2	3	I	6	Western novels	154	Literature	Long Fiction		Waterloo A	Erik Christensen	10	154	1.0			
2018-01-20	Toronto	2	3	I	7	dinitrogen	139	Science	Chemistry		Waterloo A	Cole Lloyd Bedard Jackes	-5	135	0.971			
2018-01-20	Toronto	2	3	I	8	Ludwig van Beethoven	142	Arts	Music		Waterloo A	Nicholas Sunderland	10	129	0.908			
2018-01-20	Toronto	2	3	I	10	decolonization	149	RMPSS	Philosophy		Waterloo A	Erik Christensen	10	149	1.0	bounceback		
2018-01-20	Toronto	2	3	I	11	Saki	148	Literature	Short Fiction		Waterloo A	Erik Christensen	10	144	0.973			
